time,ax,ay,az,atotal
4.0837790966033936,-0.01,-0.34,0.15,0.37
4.093846082687378,0.12,-0.32,0.08,0.35
4.103821039199829,0.2,-0.35,0.07,0.4
4.114109039306641,0.22,-0.35,0.19,0.45
4.125536918640137,0.13,-0.27,0.2,0.36
4.133768081665039,0.03,-0.21,0.07,0.22
4.143558025360107,-0.02,-0.19,-0.11,0.22
4.153788089752197,-0.04,-0.21,-0.17,0.27
4.163908958435059,-0.1,-0.13,-0.12,0.2
4.174499988555908,-0.13,0.03,-0.11,0.17
4.182851076126099,-0.13,0.16,-0.19,0.28
4.193486213684082,-0.17,0.23,-0.13,0.31
4.203635215759277,-0.11,0.22,-0.04,0.24
4.213742017745972,-0.22,0.11,0.0,0.24
4.2244720458984375,-0.28,0.0,-0.08,0.29
4.232748985290527,-0.32,0.09,-0.21,0.39
4.2433180809021,-0.61,0.3,-0.27,0.73
4.253352165222168,-0.8,0.33,-0.28,0.9
4.2630839347839355,-0.8,0.27,-0.16,0.85
4.273548126220703,-0.7,0.3,-0.24,0.79
4.28269624710083,-0.55,0.36,-0.32,0.73
4.293182134628296,-0.36,0.55,-0.11,0.66
4.303264141082764,-0.12,0.84,0.28,0.89
4.313115119934082,0.12,1.14,0.52,1.25
4.323329925537109,0.38,1.31,0.59,1.48
4.33243203163147,0.62,1.4,0.67,1.67
4.342932224273682,0.68,1.49,0.71,1.78
4.353162050247192,0.58,1.62,0.56,1.8
4.363299131393433,0.33,1.71,0.43,1.79
4.37371301651001,0.13,1.8,0.4,1.84
4.382214069366455,-0.02,1.86,0.35,1.89
4.392946243286133,-0.09,1.92,0.19,1.93
4.402836084365845,-0.06,1.91,0.07,1.91
4.412691116333008,0.03,1.83,0.07,1.83
4.424403190612793,0.14,1.79,0.23,1.81
4.432593107223511,0.23,1.68,0.39,1.73
4.442621231079102,0.24,1.54,0.46,1.62
4.452923059463501,0.29,1.39,0.48,1.49
4.462704181671143,0.3,1.26,0.42,1.36
4.472637176513672,0.17,1.12,0.39,1.19
4.48196005821228,0.04,0.97,0.37,1.03
4.492615222930908,-0.05,0.86,0.3,0.91
4.502532005310059,-0.17,0.75,0.2,0.79
4.513160228729248,-0.28,0.63,0.03,0.69
4.5259599685668945,-0.4,0.5,-0.09,0.64
4.532372951507568,-0.48,0.36,-0.06,0.6
4.542385101318359,-0.55,0.32,-0.04,0.63
4.552613019943237,-0.55,0.28,-0.05,0.61
4.56283712387085,-0.59,0.24,-0.08,0.64
4.57521390914917,-0.65,0.19,-0.14,0.69
4.582216024398804,-0.7,0.15,-0.17,0.73
4.592339992523193,-0.77,0.12,-0.24,0.81
4.6028900146484375,-0.76,0.08,-0.23,0.79
4.612709999084473,-0.67,0.04,-0.18,0.69
4.623842239379883,-0.55,0.07,-0.12,0.56
4.631485939025879,-0.45,0.07,-0.04,0.45
4.642060041427612,-0.34,0.06,0.1,0.35
4.652794122695923,-0.26,0.08,0.17,0.32
4.662099123001099,-0.19,0.06,0.14,0.24
4.672015190124512,-0.21,0.02,0.11,0.23
4.6812660694122314,-0.25,-0.01,0.09,0.26
4.691983222961426,-0.29,-0.05,0.01,0.29
4.70235013961792,-0.32,-0.05,-0.01,0.32
4.711913108825684,-0.34,-0.02,0.04,0.34
4.72376823425293,-0.37,0.05,0.14,0.39
4.731611251831055,-0.37,0.12,0.16,0.42
4.741652011871338,-0.28,0.12,0.15,0.33
4.75223708152771,-0.19,0.16,0.12,0.27
4.762315034866333,-0.16,0.17,0.09,0.25
4.774167060852051,-0.14,0.23,0.0,0.26
4.7809882164001465,-0.14,0.31,-0.07,0.34
4.791653156280518,-0.17,0.35,-0.13,0.41
4.802485942840576,-0.19,0.36,-0.1,0.41
4.811597108840942,-0.18,0.44,-0.06,0.47
4.823822021484375,-0.13,0.46,-0.1,0.48
4.830940246582031,-0.02,0.4,-0.03,0.4
4.8414201736450195,0.14,0.35,0.05,0.38
4.852766990661621,0.23,0.31,0.05,0.38
4.861772060394287,0.25,0.28,-0.02,0.37
4.873453140258789,0.22,0.23,-0.07,0.32
4.880563020706177,0.18,0.23,-0.09,0.3
4.891380071640015,0.17,0.2,-0.14,0.29
4.90298318862915,0.26,0.18,-0.17,0.35
4.911780118942261,0.37,0.19,-0.24,0.48
4.9235029220581055,0.42,0.18,-0.24,0.51
4.93048620223999,0.42,0.22,-0.16,0.5
4.941234111785889,0.44,0.25,-0.15,0.52
4.952887058258057,0.48,0.27,-0.19,0.58
4.961522102355957,0.51,0.25,-0.27,0.62
4.973292112350464,0.56,0.22,-0.29,0.66
4.98050594329834,0.64,0.23,-0.19,0.7
4.99095606803894,0.63,0.23,-0.1,0.67
5.002231121063232,0.58,0.21,-0.06,0.61
5.011246204376221,0.5,0.2,-0.06,0.54
5.023410081863403,0.44,0.18,-0.03,0.47
5.030248165130615,0.45,0.18,0.0,0.48
5.040872097015381,0.48,0.19,-0.06,0.51
5.052649021148682,0.55,0.18,-0.09,0.58
5.060705184936523,0.69,0.15,-0.05,0.7
5.073287010192871,0.8,0.17,-0.06,0.82
5.080634117126465,0.88,0.18,-0.07,0.9
5.090809106826782,0.94,0.15,0.02,0.95
5.10322904586792,0.97,0.12,0.04,0.97
5.1110780239105225,0.99,0.08,0.06,0.99
5.123613119125366,0.96,0.09,0.1,0.96
5.130492210388184,0.88,0.08,0.04,0.88
5.140515089035034,0.83,0.02,-0.11,0.83
5.1537251472473145,0.82,-0.08,-0.17,0.84
5.160928249359131,0.78,-0.17,-0.12,0.8
5.173898220062256,0.75,-0.22,-0.11,0.78
5.179655075073242,0.75,-0.16,-0.11,0.77
5.190557956695557,0.82,-0.11,-0.06,0.82
5.200589179992676,0.9,-0.09,-0.04,0.9
5.2110021114349365,0.95,-0.08,-0.07,0.95
5.2229461669921875,0.94,-0.08,-0.07,0.94
5.230406045913696,0.86,-0.06,-0.05,0.86
5.240260124206543,0.86,-0.1,-0.09,0.87
5.2504050731658936,0.89,-0.13,-0.08,0.9
5.260209083557129,0.93,-0.14,0.04,0.94
5.27378511428833,1.03,-0.18,0.12,1.05
5.279717922210693,1.07,-0.2,0.08,1.09
5.2901930809021,1.03,-0.24,0.07,1.05
5.30023193359375,0.91,-0.32,0.24,0.99
5.31008505821228,0.78,-0.37,0.34,0.92
5.3238890171051025,0.74,-0.41,0.26,0.88
